pathogen_term,disease_term,text,Relationship,pathogen_synonyms,disease_synonyms
corynebacterium glutamicum,influenza,"shikimate is a key high-demand metabolite for synthesizing valuable antiviral drugs, such as the anti-influenza drug, oseltamivir (tamiflu). microbial-based strategies for shikimate production have been developed to overcome the unstable and expensive supply of shikimate derived from traditional plant extraction processes. in this study, a microbial cell factory using corynebacterium glutamicum was designed to overproduce shikimate in a fed-batch culture system. first, the shikimate kinase gene (arok) responsible for converting shikimate to the next step was disrupted to facilitate the accumulation of shikimate. several genes encoding the shikimate bypass route, such as dehydroshikimate dehydratase (qsub), pyruvate kinase (pyk1), and quinate/shikimate dehydrogenase (qsud), were disrupted sequentially. an artificial operon containing several shikimate pathway genes, including aroe, arob, arof, and arog were overexpressed to maximize the glucose uptake and intermediate flux. the rationally designed shikimate-overproducing c. glutamicum strain grown in an optimized medium produced approximately 37.3 g/l of shikimate in 7-l fed-batch fermentation. overall, rational cell factory design and culture process optimization for the microbial-based production of shikimate will play a key role in complementing traditional plant-derived shikimate production processes.",no,Corynebacterium glutamicum|Micrococcus maripuniceus|Brevibacterium divaricatum|Corynebacterium lilium|Brevibacterium lactofermentum|Brevibacterium thiogenitalis|Corynebacterium lactofermentum|Brevibacterium saccharolyticum|Brevibacterium glutamigenes|Micrococcus glutamicus|Brevibacterium chang-fua|Brevibacterium taipei|Corynebacterium crenatum|Brevibacterium seonmiso,influenza|influenza with non-respiratory manifestation|influenza with other manifestations|flu
porphyromonas gingivalis,rheumatoid arthritis,"the characterization of risk and protective factors in complex diseases such as rheumatoid arthritis (ra) has evolved from epidemiological studies, which test association, to the use of mendelian randomization approaches, which test direct relationships. indeed, direct associations with the mucosal origin of ra are retrieved with periodontal disease (porphyromonas gingivalis and aggregatibacter actinomycetemcomitans predominantly), interstitial lung involvement, tobacco smoking and air pollutants. next, factors directly associated with an acquired immune response include genetic factors (hla drb1, ptpn22), capacity to produce anti-modified protein antibodies (ampa), and relatives with a history of autoimmune diseases. finally, factors can be also classified according to their direct capacity to interfere with the il-6/crp/sil-il6r proinflammatory pathway as risk factor (body fat, cardiometabolic factors, type 2 diabetes, depressive syndrome) or either as protective factors by controlling of sil-6r levels (higher education level, and intelligence). although some co-founders have been characterized (e.g. vitamin d, physical activity, cancer) the direct association with sex-discrepancy, pregnancy, and infections among other factors remains to be better explored.",yes,Porphyromonas gingivalis|Bacteroides gingivalis,"rheumatoid arthritis|arthritis or polyarthritis, rheumatic|atrophic arthritis"
caenorhabditis elegans,inflammatory bowel disease,"guarana (paullinia cupana) is a widely consumed nutraceutical with various health benefits supported by scientific evidence. however, its indirect health impacts through the gut microbiota have not been studied. caenorhabditis elegans is a useful model to study both the direct and indirect effects of nutraceuticals, as the intimate association of the worm with the metabolites produced by escherichia coli is a prototypic simplified model of our gut microbiota. we prepared an ethanoic extract of guarana seeds and assessed its antioxidant capacity in vitro, with a 2,2-diphenyl-1-picrylhydrazyl (dpph) assay, and in vivo, utilizing c. elegans. additionally, we studied the impact of this extract on c. elegans lifespan, utilizing both viable and non-viable e. coli, and assessed the impact of guarana on e. coli folate production. the extract showed high antioxidant capacity, and it extended worm lifespan. however, the antioxidant and life-extending effects did not correlate in terms of the extract concentration. the extract-induced life extension was also less significant when utilizing dead e. coli, which may indicate that the effects of guarana on the worms work partly through modifications on e. coli metabolism. following this observation, guarana was found to decrease e. coli folate production, revealing one possible route for its beneficial effects.",no,Caenorhabditis elegans|Rhabditis elegans,inflammatory bowel disease
hepatitis b virus,vasculitis,"classical polyarteritis nodosa (cpan) refers to a rare, potentially fatal systemic transmural necrotizing vasculitis that usually affects medium-sized, and occasionally small, muscular arteries, primarily involves the kidneys, gastrointestinal tract, skin, nervous system, joints, and muscles, and is rarely, if ever, expressed in the lungs. the incidence of mortality has significantly decreased with recently developed treatment modalities, in particular antiviral medications. sudden death due to previously undiagnosed cpan is rarely encountered. we report a case of a young man who had been evaluated on three occasions by medical personnel in the 3 weeks prior to his death. he had complained of nonspecific symptoms of abdominal and perineal/suprapubic pain, nausea, vomiting, sensation of chilling, and constipation. the spectrum of diagnoses included ""gastroenteritis,"" enteric infection, and prostatitis. found agonal at home and dying despite immediate cardiopulmonary resuscitation (cpr), he underwent a medicolegal autopsy, which revealed vasculitis of various organs, including heart (myocardium and epicardium) and extramural coronary arteries, liver, spleen, kidneys, adrenal glands, stomach and bowel, omentum, gallbladder, and pancreas. his sudden death was cardiac in nature due to pan associated clinically with hepatitis b surface antigen positivity (hepatitis b virus-associated pan [hbv-pan]). a complete autopsy with thorough histopathological examination is necessary to diagnose this uncommon yet potentially fatal vasculitis.",yes,Hepatitis B virus|hepatitis B virus,vasculitis|angiitis
trichophyton rubrum,tinea pedis,"our study included 2384 students from five villages around eskisehir, turkey. we asked every student for their personal identification and also for their sanitation in order to get an idea about dermatophytosis. samples taken from suspicious lesion were collected and inoculated onto sabouraud dextrose agar slants. for identification of fungi which were grown, macroscopic appearance of colonies, microscopic examination and biochemical tests were used. we found suspicious lesions in 245 (10.3%) and diagnosed dermatophytosis in 86 (3.6%) of the students. the dermatophyte species were trichophyton rubrum 37 (43%) at first, trichophyton mentagrophytes 17 (19.8%), microsporum canis 11 (12.8%), microsporum gypseum 8(9.3%), epidermophyton floccosum 6 (7%), trichophyton verrucosum 6 (7%) and trichophyton violaceum 1 (1.1%). tinea pedis (59.3%) was the most frequent clinic form of dermatophytosis, followed by tinea corporis (22.1%), tinea capitis (9.3%), tinea manum (7.0%) and tinea unguium (2.3%). older age, male gender, poor hygiene, living in dormitory, low level mother education, history of dermatophytosis within family and sanitary conditions were computed as independently variables associated with dermatophytosis infection. for prevention and control of dermatophyte infection in children living rural areas, field studies should be done and sanitary conditions should be improved.",yes,Trichophyton rubrum|Trichophyton rubrum var. raubitschekii|Sabouraudites ruber  Nann.|Sabouraudites ruber|Trichophyton fischeri|Trichophyton megninii|Microsporum rubrum|Trichophyton raubitschekii|Epidermophyton rubrum|Trichophyton kanei,tinea pedis|athlete's foot|dermatophytosis of foot|ringworm of foot
human immunodeficiency virus,systemic lupus erythematosus,"systemic lupus erythematosus (sle) and human immunodeficiency virus (hiv) infection have significant overlapping clinical features, making diagnosis challenging. we report a case of new-onset sle initially mistreated as hiv infection due to a false-positive fourth-generation hiv antigen/antibody (ag/ab) test. a young female in her 30s presented with fatigue, oral thrush, and a positive hiv ag/ab combo test. she was started on fluconazole and highly active antiretroviral therapy (haart), but deteriorated with recurrent fevers and worsening mental status, requiring icu admission. surprisingly, her hiv confirmatory tests were negative, but rheumatologic serologies were positive. the overall clinical, laboratory and biopsy results confirmed the diagnosis of sle. she was treated with pulse steroid therapy and immunosuppressive agents with marked improvement and was subsequently discharged. rarely do sle patients present with false-positive hiv tests, thus masking and delaying treatment for critical sle. clinicians should understand the limitations of screening tests and have high suspicions and consider the diagnoses of both diseases.",yes,Human immunodeficiency virus,"systemic lupus erythematosus|disseminated lupus erythematosus|lupus erythematosus, systemic|sle - lupus erythematosus, systemic"
respiratory syncytial virus,pneumonia,"respiratory syncytial virus (rsv) causes severe pneumonia and bronchiolitis in infants, children and older adults. the use of metallic nanoparticles as potential therapeutics is being explored against respiratory viruses like influenza, parainfluenza and adenovirus. in this study, we showed that gold nanorods (gnrs) inhibit rsv in hep-2 cells and balb/c mice by 82% and 56%, respectively. the rsv inhibition correlated with marked upregulated antiviral genes due to gnr mediated tlr, nod-like receptor and rig-i-like receptor signaling pathways. transmission electron microscopy of lungs showed gnrs in the endocytotic vesicles and histological analyses indicated infiltration by neutrophils, eosinophils and monocytes correlating with clearance of rsv. in addition, production of cytokines and chemokines in the lungs indicates recruitment of immune cells to counter rsv replication. to our knowledge, this is the first in vitro and in vivo report that provides possible antiviral mechanisms of gnrs against rsv.",yes,Respiratory syncytial virus|respiratory syncytial virus RS|respiratory syncytial virus RSV|respiratory syncytial virus RS virus,pneumonia|acute pneumonia
epstein barr virus,lymphoma,"up to 10 % of chronic lymphocytic leukemia (cll) patients present with aggressive secondary b-cell lymphoma (most frequently diffuse large b-cell lymphoma, dlbcl) which may be clonally related to the cll (i.e., richter transformation, rt, 80 % of the cases) or de novo (20 % of the cases). several genetic lesions associated with rt have already been identified, but the potential role of the epstein-barr virus (ebv) has been largely overlooked. in this study, we describe six cll patients who developed a secondary ebv-positive (ebv(+)) b-cell lymphoma (five dlbcl, one hodgkin lymphoma) and compare their clinicopathological characteristics to ten cll patients with ebv-negative (ebv(-)) secondary b-cell lymphomas (all dlbcl). all 16 patients had a history of iatrogenic immunosuppression or chemotherapy. eighty percent had received fludarabine as part of the cll treatment. most secondary lymphomas were clonally related to the previous cll (3/4 ebv(+), 7/7 ebv(-) cases tested). notably ebv(+) rt was associated with a trend for older age at onset (median 72 vs. 63 years, p value >0.05), longer interval between cll and rt diagnosis (median 4.2 vs. 2.9 years, p value >0.05), and shorter overall survival (median 4 vs. 10 months, p value >0.05). these differences were not significant, probably due to small sample size. immunohistochemical profiling suggested more frequent overexpression of tp53 and myc in ebv(-) compared to ebv(+) secondary lymphoma. based on this small retrospective single center series, we hypothesize that ebv(+) rt may constitute a separate subgroup of rt. larger series are required to validate this suggestion.",yes,human gammaherpesvirus 4|Epstein Barr virus,lymphoma|lymphoid cancer
mosquito,viral disease,"despite the availability of an efficient vaccine, yellow fever (yf), a viral disease transmitted by mosquitoes, is still a threat. in brazil, the yellow fever virus (yfv) has been restricted to a jungle cycle for more than 70 years. however, yfv has recently invaded populated cities in the southeast such as rio de janeiro where the opportunistic mosquito aedes albopictus is well established. using in vivo passages of yfv in ae. albopictus, we have selected viral strains presenting substitutions in ns1 gene. we did 10 passages of yfv-74018 on two distinct ae. albopictus populations: (i) manaus collected from a yfv-endemic area in amazonia and (ii) pnmni from a yfv-free area in the state of rio de janeiro. full viral genomes were deep sequenced at each passage. we obtained two yfv strains presenting a non-synonymous substitution in the ns1 gene. interestingly, they intervened at two different positions in ns1 gene according to the mosquito population: i2772t in ae. albopictus manaus and s3303n in ae. albopictus pnmni. both substitutions reached fixation at the passage 10. our data suggest that yfv has the potential for adaption to ae. albopictus thereby posing a threat to most cities in south america where this mosquito is present.",yes,Anopheles cruzii|mosquito,viral infectious disease|virus infection|viral disease|viral infection
human metapneumovirus,influenza,"viral respiratory tract infections in lung transplant recipients may be severe. during three consecutive winter-spring seasons, 49 symptomatic lung transplant recipients with suspected respiratory viral infection, and 26 asymptomatic patients were investigated for presence of respiratory viruses either in 56 nasopharyngeal aspirate or 72 bronchoalveolar lavage samples taken at different times after transplantation. on the whole, 1 asymptomatic (3.4%) and 28 symptomatic (57.1%) patients were positive for human metapneumovirus (hmpv, 4 patients), influenza virus a (3 patients), and b (2 patients), respiratory syncytial virus (2 patients), human coronavirus (2 patients), human parainfluenza virus (2 patients), rhinovirus (5 patients), while 4 patients were coinfected by 2 respiratory viruses, and 5 were infected sequentially by 2 or more respiratory viruses. in bronchoalveolar lavage samples, hmpv predominated by far over the other viruses, being responsible for 60% of positive specimens, whereas other viruses were present in nasopharyngeal aspirates at a comparable rate. rt-pcr (detecting 43 positive samples/128 examined) was largely superior to monoclonal antibodies (detecting 17 positive samples only). in addition, hcmv was detected in association with a respiratory virus in 4/18 hcmv-positive patients, and was found at a high concentration (>10(5) dna copies/ml) in 3/16 (18.7%) patients with hcmv-positive bronchoalveolar lavage samples and pneumonia. coinfections and sequential infections by hcmv and respiratory viruses were significantly more frequent in patients with acute rejection and steroid treatment. in conclusion: (i) about 50% of respiratory tract infections of lung transplant recipients were associated with one or more respiratory viruses; (ii) hmpv largely predominates in bronchoalveolar lavage of symptomatic lung transplant recipients, thus suggesting a causative role in lower respiratory tract infections; (iii) rt-pcr appears to be the method of choice for detection of respiratory viruses in lung transplant recipients, (iv) a high hcmv load in bronchoalveolar lavage is a risk factor for viral pneumonia, suggesting some measure of intervention for the control of viral infection.",no,human metapneumovirus,influenza|influenza with non-respiratory manifestation|influenza with other manifestations|flu
hepatitis b virus,liver cancer,a major unmet clinical need is a therapeutic capable of removing hepatitis b virus (hbv) genome from the liver of infected individuals to reduce their risk of developing liver cancer. a strategy to deliver such a therapy could utilize the ability to target and promote apoptosis of infected hepatocytes. presently there is no clinically relevant strategy that has been shown to effectively remove persistent episomal covalently closed circular hbv dna (cccdna) from the nucleus of hepatocytes. we used linearized single genome length hbv dna of various genotypes to establish a cccdna-like reservoir in immunocompetent mice and showed that clinical-stage orally administered drugs that antagonize the function of cellular inhibitor of apoptosis proteins can eliminate hbv replication and episomal hbv genome in the liver. primary human liver organoid models were used to confirm the clinical relevance of these results. this study underscores a clinically tenable strategy for the potential elimination of chronic hbv reservoirs in patients.,yes,Hepatitis B virus|hepatitis B virus,"liver cancer|resectable malignant neoplasm of the liver|malignant hepato-biliary neoplasm|hepatic cancer|primary malignant neoplasm of liver|non-resectable primary hepatic malignant neoplasm|malignant neoplasm of liver, not specified as primary or secondary|malignant neoplasm of liver, primary|primary liver cancer|ca liver - primary|hepatic neoplasm|neoplasm of liver|malignant neoplasm of liver|resectable malignant neoplasm of liver|malignant tumor of liver"
hepatitis c virus,cirrhosis,"african american (aa) recipient-donor race mismatch has been associated with graft loss and mortality, but studies of an association between race mismatch and hepatitis c virus (hcv) disease severity are lacking. hcv-infected adults from 4 us centers who underwent liver transplantation for the first time (n = 1093) were followed for a median of 3.05 years to determine the rates of advanced hcv disease (bridging fibrosis or cirrhosis) and graft failure; 11% of the patients were aa. the unadjusted cumulative rate of advanced fibrosis was higher in aas than non-aas (56% and 40% at 4 years, respectively, (p < 0.01), and 59% and 56% for aa recipient-donor-matched patients and aa recipient-donor-mismatched patients, respectively (p = 0.89). in adjusted models, both aa recipient race [hazard ratio (hr) = 1.47, 95% ci = 1.06-2.03, p = 0.02] and aa recipient-donor mismatch (versus match; hr = 1.48, 95% ci = 1.03-2.12, p = 0.03) were significant predictors of advanced fibrosis; other independent predictors were donor age (hr = 1.21, p < 0.01) and cytomegalovirus infection (hr = 1.55, p < 0.01). the 4-year unadjusted cumulative rates for hcv-associated graft loss were 10% and 17% for non-aas and aas, respectively (p < 0.01), and 0% and 21% for aa recipient-donor-matched patients and aa recipient-donor-mismatched patients, respectively (p < 0.01). in adjusted models, aa recipient-donor-mismatched patients had a 62% higher rate of graft loss than non-aa recipients (hr = 1.62, 95% ci = 1.14-2.29, p < 0.01), and aa recipient-donor-matched patients had a 76% lower rate of graft loss/mortality (hr = 0.24, 95% ci = 0.06-0.97, p = 0.05). in conclusion, aa recipient-donor-mismatched patients who are infected with hcv are at high risk for advanced hcv disease and hcv-related graft loss and constitute a patient group that will benefit from new therapeutic strategies for preventing graft loss.",yes,Hepacivirus hominis|Hepatitis C virus,liver cirrhosis|cirrhosis|cirrhosis of liver
saccharomyces cerevisiae,sars,"the predominant approach for antibody generation remains animal immunization, which can yield exceptionally selective and potent antibody clones owing to the powerful evolutionary process of somatic hypermutation. however, animal immunization is inherently slow, has poor compatibility with certain antigens ( e . g ., integral membrane proteins), and suffers from self-tolerance and immunodominance, which limit the functional spectrum of antibodies that can be obtained. here, we describe a utonomous h ypermutation y e ast surf a ce d isplay (ahead), a synthetic recombinant antibody generation technology that imitates somatic hypermutation inside engineered yeast. in ahead, antibody fragments are encoded on an error-prone orthogonal dna replication system, resulting in saccharomyces cerevisiae populations that continuously mutate surface-displayed antibody repertoires. simple cycles of yeast culturing and enrichment for antigen binding drive the evolution of high-affinity antibody clones in a readily parallelizable process that takes as little as 2 weeks. we applied ahead to generate nanobodies against the sars-cov-2 s glycoprotein, a gpcr, and other targets. the sars-cov-2 nanobodies, concurrently evolved from an open-source naive nanobody library in 8 independent experiments, reached subnanomolar affinities through the sequential fixation of multiple mutations over 3-8 ahead cycles that saw  approximately 580-fold and  approximately 925-fold improvements in binding affinities and pseudovirus neutralization potencies, respectively. these experiments highlight the defining speed, parallelizability, and effectiveness of ahead and provide a template for streamlined antibody generation at large with salient utility in rapid response to current and future viral outbreaks.",no,Saccharomyces cerevisiae|Saccharomyces cerevisiae 'var. diastaticus'|Saccharomyces diastaticus|Saccharomyces oviformis|baker's yeast|Saccharomyces cerevisiae  Meyen ex E.C. Hansen|Mycoderma cerevisiae|Saccharomyces capensis|Saccharomyces italicus|Saccharomyces uvarum var. melibiosus|Candida robusta|brewer's yeast,severe acute respiratory syndrome|sars|sars-cov infection
mosquito,virus infection,"background: a febrile man, who returned to china after a 9-day travel in fiji and samoa, was detected to be infected with zika virus (zikv) at the port by shenzhen entry-exit inspection and quarantine bureau on 14 february 2016. methods: the patient and his 32 travelling companions were traced for zikv infection. a standardised questionnaire was used to obtain the information on demographics, clinical manifestations and exposure history. their samples were tested for zikv by quantitative reverse transcriptase polymerase chain reaction (qrt-pcr). the positive samples were subjected to viral culture and genome sequencing. findings: four of the 33 travellers were confirmed to be infected by zikv through qrt-pcr and viral culture, with an overall infection rate of 12%. interestingly, one case (patient 3) where high viremia levels were tested 4 days prior to symptoms. in addition, a 7-year-old girl was identified to have zikv infection on 17 february, but never had any manifestation. zikv was isolated from the four imported cases. phylogenetic analysis based on whole genome sequences revealed that these isolates were similar to each other and close to the strain causing the french polynesia outbreak in 2013. interpretation: the travellers should be informed of the high risk for zikv infection during their stay in areas with active transmission and measures to prevent mosquito bites.",no,Anopheles cruzii|mosquito,viral infectious disease|virus infection|viral disease|viral infection
mosquito,malaria,"background: indoor residual spraying (irs) is one of the preferred tools used for control of malaria in many settings in the world. however, this control tool still faces challenges that include lack of long lasting active ingredient, limited number of well-trained personal, and need of repeated treatment which increases operational costs and reduces acceptability by residents. as a result there is need to develop and validate other methods which can complement the existing controls. the current study compared the bio-efficacy of durable wall lining (dl) (treated with deltamethrin 265 mg/m(2)) and irs (with deltamethrin 5% wp at 20 mg/m(2)) on indoor mosquitoes densities and biting behaviour of mosquitoes in comparison with control houses without either dl or irs. methods: a study with two treatment arms and a control was conducted in magugu ward, northern tanzania. overall, a total of 60 houses were selected for the study with 20 houses per treatment arm and control. from each arm and control five houses were selected for mosquitoes trapping. mosquitoes were sampled from 18:00 to 07:00 hourly every month for a period of 6 months. mosquitoes were sampled using cdc miniature light traps. results: a total of 14,400 female wild mosquitoes were used for contact bioassays in the control arm. 20 houses were sprayed, additionally walls of 20 houses were installed with wall liners, and walls of 20 unsprayed houses were used as control. also, a total of 946 mosquitoes were sampled with traps in 60 houses during the hourly sampling for 6 months. a total of 3000 unfed females of an. gambiae s.l. wild population raised from larvae were collected from natural habitats in the same village for bioassays. the decline in indoor mosquitoes densities observed in this study did not lead to a shift in the biting cycles (p = 0.712). the number of mosquitoes caught indoors in houses with dl and irs was significantly lower (p < 0.001) compared to control houses. when the comparisons were done between dl and irs houses, the densities were significantly lower in dl houses compared to irs houses (p = 0.021). in the dl installed houses, indoor mosquito density declined notably and sustained throughout the 6 months of the study. however, in those houses sprayed with deltamethrin 5% wp (pali5 wp), the density noted to start to increase within four months after spraying(do you mean to say that the densities declined up to 4 months post spraying and thereafter increased. conclusions: considering the efficacy duration of dl against irs with deltamethrin 5% wp on mosquito densities decline indoors. the results of this study suggest that dl is more effective in malaria control as its efficacy lasted more than that of irs.",no,Anopheles cruzii|mosquito,malaria|induced malaria
streptococcus gordonii,periodontitis,"(1) background: probiotics can be considered a non-invasive periodontal monotherapy for the modulation of microbiota when periodontal treatment is not accessible. the aim was to evaluate the ability of lactobacillus reuteri prodentis as monotherapy to modulate periodontal parameters and subgingival biofilm dysbiosis. (2) methods: a 30-year-old patient with periodontitis was followed longitudinally after one month of daily consumption of l. reuteri prodentis (t0). periodontal measurements and microbial identification by checkerboard dna-dna hybridization of 40 bacteria were compared between baseline (t0) and 30 days (t1) or 90 days (t2), using the kruskal-wallis (kw) and mann-whitney u (mw) tests. (3) results: low values of pocket depth, attachment level, dental plaque, gingival erythema (ge), and suppuration were observed at t0 vs. t1, with the clinical improvement of ge (p < 0.05, mw) and the recovery of tooth 46 fistulation. t1 vs. t0 comparisons showed lower levels (lev) or proportions (prop) of parvimonas micra (lev: p < 0.05, mw; prop: p < 0.01, mw) and streptococcus gordonii (prop: p < 0.05, mw), and a predominance (lev/prop) of actinomyces odontolyticus and streptococcus mitis; lower levels and proportions of p. micra, eubacterium saburreum, porphyromonas gingivalis, and tannerella forsythia were observed in tooth 46 (t1/t2 vs. t0). (4) conclusions: under monotherapy with l. reuteri prodentis, periodontal measurements of the patient were maintained, with selective changes in the subgingival microbiota that were proportional to the time of probiotic administration, with any additional periodontal treatment.",no,Streptococcus gordonii,periodontitis|chronic pericementitis
lassa virus,influenza,"viral hemorrhagic fevers caused by members of the order bunyavirales comprise endemic and emerging human infections that are significant public health concerns. despite the disease severity, there are few therapeutic options available, and therefore effective antiviral drugs are urgently needed to reduce disease burdens. bunyaviruses, like influenza viruses (ifvs), possess a cap-dependent endonuclease (cen) that mediates the critical cap-snatching step of viral rna transcription. we screened compounds from our cen inhibitor (ceni) library and identified specific structural compounds that are 100 to 1,000 times more active in vitro than ribavirin against bunyaviruses, including lassa virus, lymphocytic choriomeningitis virus (lcmv), and junin virus. to investigate their inhibitory mechanism of action, drug-resistant viruses were selected in culture. whole-genome sequencing revealed that amino acid substitutions in the cen region of drug-resistant viruses were located in similar positions as those of the cen alpha3-helix loop of ifvs derived under drug selection. thus, our studies suggest that ceni compounds inhibit both bunyavirus and ifv replication in a mechanistically similar manner. structural analysis revealed that the side chain of the carboxyl group at the seventh position of the main structure of the compound was essential for the high antiviral activity against bunyaviruses. in lcmv-infected mice, the compounds significantly decreased blood viral load, suppressed symptoms such as thrombocytopenia and hepatic dysfunction, and improved survival rates. these data suggest a potential broad-spectrum clinical utility of cenis for the treatment of both severe influenza and hemorrhagic diseases caused by bunyaviruses.",no,Mammarenavirus lassaense|Lassa virus,influenza|influenza with non-respiratory manifestation|influenza with other manifestations|flu
b virus,liver cancer,"transarterial chemoembolization (tace) could achieve a better survival benefit than conservative treatment for advanced hepatocellular carcinoma (hcc) with portal vein tumor thrombosis (pvtt). in this retrospective study, all hcc patients with child-pugh score <7 and pvtt who were consecutively admitted to our center between january 2006 and june 2012 and underwent tace were enrolled. the efficacy and safety of tace were analyzed. prognostic factors were determined by cox regression analysis. of the 188 patients included, 89% had hepatitis b virus infection, 100% were at barcelona clinic liver cancer stage c, and 81% (n = 152) and 19% (n = 36) were at child-pugh classes a and b, respectively. the incidence of procedure-related complications was 88%. no procedure-related death was found. the median overall survival was 6.1 months. type of pvtt (hazard ratio [hr] = 2.806), number of tumor lesions (hr = 2.288), child-pugh class (hr = 2.981), and presence of metastasis (hr = 1.909) were the independent predictors of survival. in conclusion, tace could be selectively used for the treatment of advanced hcc with pvtt. but a high rate of postoperative adverse events should not be undermined in spite of no procedure-related death. preoperative type of pvtt, number of tumor lesions, child-pugh class, and metastasis could predict the prognosis of these patients.",yes,Simplexvirus macacinealpha1|B virus,"liver cancer|resectable malignant neoplasm of the liver|malignant hepato-biliary neoplasm|hepatic cancer|primary malignant neoplasm of liver|non-resectable primary hepatic malignant neoplasm|malignant neoplasm of liver, not specified as primary or secondary|malignant neoplasm of liver, primary|primary liver cancer|ca liver - primary|hepatic neoplasm|neoplasm of liver|malignant neoplasm of liver|resectable malignant neoplasm of liver|malignant tumor of liver"
human adenovirus,hepatitis,"since january 2022, acute severe hepatitis cases with unknown etiology in children have occurred in many countries in europe and the united states, and 43.8% of the cases were positive for human adenovirus (hadv), and some cases were identified as hadv-41. however, more evidences including etiology, genomics, liver pathology, and immunohistochemistry are needed to determine the main cause of this outbreak. at present, due to the lack of systematic surveillance and research on hepatitis caused by hadv infection, it is impossible to determine whether there are similar hepatitis cases occurred in china. it is urgent to carry out hadv virolgocial surveillance based on clinical symptom, and potential risk of acute severe hepatitis should be studied as soon as possible according to the available relevant clinical, epidemiological and virological data, as well as risk factor information, which will provide scientific and technical support for the prevention and control of hadv-related diseases.",yes,Human adenovirus sp.|Human adenovirus,hepatitis|acute/subac. necrosis of liver|acute hepatitis|chronic hepatitis|acute and subacute liver necrosis|chronic persistent hepatitis|animal hepatitis
anopheles atroparvus,malaria,"current strategies for the mass administration of antimalarial drugs demand oral formulations to target the asexual plasmodium stages in the peripheral bloodstream, whereas recommendations for future interventions stress the importance of also targeting the transmission stages of the parasite as it passes between humans and mosquitoes. orally administered polyamidoamine (paa) nanoparticles conjugated to chloroquine reached the blood circulation and cured plasmodium yoelii-infected mice, slightly improving the activity of the free drug and inducing in the animals immunity against malaria. liquid chromatography with tandem mass spectrometry analysis of affinity chromatography-purified paa ligands suggested a high adhesiveness of paas to plasmodium falciparum proteins, which might be the mechanism responsible for the preferential binding of paas to plasmodium-infected erythrocytes vs. non-infected red blood cells. the weak antimalarial activity of some paas was found to operate through inhibition of parasite invasion, whereas the observed polymer intake by macrophages indicated a potential of paas for the treatment of certain coinfections such as plasmodium and leishmania. when fluorescein-labeled paas were fed to females of the malaria mosquito vectors anopheles atroparvus and anopheles gambiae, persistent fluorescence was observed in the midgut and in other insect's tissues. these results present paas as a versatile platform for the encapsulation of orally administered antimalarial drugs and for direct administration of antimalarials to mosquitoes, targeting mosquito stages of plasmodium.",no,Anopheles atroparvus,malaria|induced malaria
sida,hiv infection,"introduction: in spain hiv testing is recommended to people with risk behaviors for hiv and with indicator conditions (ic) related to hiv infection. missed diagnostic opportunities (mo) are defining as situations where these recommendations are not followed. objective: to characterize mo due to risk behaviors (directed) and due to ic (indicated) among people diagnosed with hiv in the region of madrid. methods: a total of 109 participants newly diagnosed with hiv were recruited from 7 health centers (april 2018-march 2019) by a telephone survey. diagnostic opportunities were defined as any contact with the healthcare system in which an hiv test should have been carried out. frequency of mo was calculated within the previous 2 years from hiv diagnosis. results: of the 32 directed and indicated diagnostic opportunities, 96.9% and 57.8% respectively resulted in mo. overall, 83.8% of diagnostic opportunities resulted in mo. conclusion: mo, both directed and indicated, are an important area for improvement to reduce late diagnosis.",no,Sida,human immunodeficiency virus infectious disease|hiv infection
[clostridium] leptum,type 2 diabetes,"type 2 diabetes (t2d) is associated with an increased risk of cardiovascular disease (cvd). the gut microbiota may contribute to the onset and progression of t2d and cvd. the aim of this study was to evaluate the relationship between the gut microbiota and subclinical cvd in t2d patients. this cross-sectional study used echocardiographic data to evaluate the cardiac structure and function in t2d patients. we used a quantitative polymerase chain reaction to measure the abundances of targeted fecal bacterial species that have been associated with t2d, including bacteroidetes, firmicutes, clostridium leptum group, faecalibacterium prausnitzii, bacteroides, bifidobacterium, akkermansia muciniphila, and escherichia coli. a total of 155 subjects were enrolled (mean age 62.9 +/- 10.1 years; 57.4% male and 42.6% female). phyla bacteroidetes and firmicutes and genera bacteroides were positively correlated with the left ventricular ejection fraction. low levels of phylum firmicutes were associated with an increased risk of left ventricular hypertrophy. high levels of both phylum bacteroidetes and genera bacteroides were negatively associated with diastolic dysfunction. a high phylum firmicutes/bacteroidetes (f/b) ratio and low level of genera bacteroides were correlated with an increased left atrial diameter. phyla firmicutes and bacteroidetes, the f/b ratio, and the genera bacteroides were associated with variations in the cardiac structure and systolic and diastolic dysfunction in t2d patients. these findings suggest that changes in the gut microbiome may be the potential marker of the development of subclinical cvd in t2d patients.",yes,[Clostridium] leptum|Clostridium leptum,type 2 diabetes mellitus|non-insulin-dependent diabetes mellitus|insulin resistance|type 2 diabetes|niddm|type ii diabetes mellitus
